portfolio_index,mu,sigma,target_return,w_VTSMX,w_VTBIX,w_VGTSX
0,0.018,0.035,0.018,0.0,1.0,0.0
1,0.025958888730293703,0.05035714285714286,0.025958888730293703,0.07142857142857142,0.9285714285714286,0.0
2,0.03234590430009065,0.06571428571428571,0.03234590430009065,0.14285714285714285,0.8571428571428572,0.0
3,0.03824908948283916,0.08107142857142857,0.03824908948283916,0.21428571428571427,0.7857142857142857,0.0
4,0.043858505774054785,0.09642857142857142,0.043858505774054785,0.2857142857142857,0.7142857142857143,0.0
5,0.04925913360793953,0.11178571428571428,0.04925913360793953,0.3571428571428571,0.6428571428571429,0.0
6,0.05449900252771378,0.12714285714285714,0.05449900252771378,0.42857142857142855,0.5714285714285714,0.0
7,0.05960885520254419,0.14250000000000002,0.05960885520254419,0.5,0.5,0.0
8,0.06460998058258341,0.15785714285714286,0.06460998058258341,0.5714285714285714,0.4285714285714286,0.0
9,0.06951794914827215,0.1732142857142857,0.06951794914827215,0.6428571428571428,0.3571428571428572,0.0
10,0.0743446172499385,0.18857142857142856,0.0743446172499385,0.7142857142857142,0.2857142857142858,0.0
11,0.07909929729687608,0.20392857142857143,0.07909929729687608,0.7857142857142857,0.2142857142857143,0.0
12,0.08378948582587181,0.21928571428571428,0.08378948582587181,0.8571428571428571,0.1428571428571429,0.0
13,0.08842133964611522,0.23464285714285713,0.08842133964611522,0.9285714285714285,0.07142857142857151,0.0
14,0.093,0.25,0.093,1.0,0.0,0.0
